처리시설명,처리시설코드,구분,시도,시군구,읍면동,리,행정구역코드,시설용량(㎥/일)_물리적,시설용량(㎥/일)_생물학적,시설용량(㎥/일)_고도,시설용량 합,처리공정_전처리,처리공정_1차,처리공정_2차,처리공정_3차,가동개시일자,가동율(%),가동일수,방류수수질적용기준지역구분,재이용량(㎥/일)_계,재이용량(㎥/일)_조경수,재이용량(㎥/일)_세척수(축봉수포함),재이용량(㎥/일)_공정재이용,재이용량(㎥/일)_기타
중랑물재생센터(분뇨),112000F01,가동중,서울특별시,성동구,송정동,,1120011800,"4,000",,,"4,000",미세협잡물분리기,중력농축조,기계농축기,가압부상조,1976-12-23,91,365,III,0,,,,
중랑물재생센터,112000W01,가동중,서울특별시,성동구,송정동,,1120011800,,"350,000","1,240,000","1,590,000",침사지,침전지,"활성슬러지법, A2O공법","여과,오존소독",1976-09-21,78.6,365,III,40452,,,24707,15745
서남물재생센터(분뇨),115000F01,가동중,서울특별시,강서구,마곡동,,1150010500,,"2,000",,"2,000",중력농축,상징수 별도처리,혐기성 소화조,,1988-06-30,141.6,366,,0,,,,
서남물재생센터,115000W01,가동중,서울특별시,강서구,마곡동,,1150010500,,"2,000,000",,"2,000,000",침사지,최초침전지,생물반응조,,1995-06-30,83.1,366,III,8880,,5185,1672,2023
탄천물재생센터,116800W01,가동중,서울특별시,강남구,일원동,,1168011400,,"900,000",,"900,000",침사지,1차침전,MLE공법,MDF(여과),1987-12-09,88.2,365,III,63625,0,13680,49896,49
부산중앙하수처리장,261400W01,가동중,부산광역시,서구,암남동,,2614012400,,,"120,000","120,000",침사지,응집침전지,BIOFOR,,2006-01-01,74.6,365,IV,19497,150,17320,868,1159
영도하수종말처리시설,262000W01,가동중,부산광역시,영도구,동삼동,,2620012100,,,"95,000","95,000",침사지,1차침전,KSBNRⓜ,2차침전,2006-01-01,40.9,366,IV,338,38,180,29,91
수영하수종말처리장,262600W01,가동중,부산광역시,동래구,안락동,,2626010200,,"452,000",,"452,000",침사지,1차침전,"활성슬러지공법,MLE공법",,1988-05-01,80,365,IV,25494,33,5477,4977,15007
남부하수종말처리장,262900W01,가동중,부산광역시,남구,용호동,,2629010700,,"340,000",,"340,000",,,,,1996-06-01,100,365,,7170,,3430,1717,2023
동부하수처리장,263500W02,가동중,부산광역시,해운대구,재송동,,2635010400,,,"135,000","135,000",침사지,침전조,탈질조,질산화조,2006-10-27,80.9,366,IV,11941,,,187,11754
해운대하수종말처리장,263500W01,가동중,부산광역시,해운대구,좌동,,2635010700,,"65,000",,"65,000",침사지,1차침전,활성슬러지공법,급속사여과,1996-09-01,64,366,,41578,0,2574,1497,37507
강변하수종말처리장,263800W01,가동중,부산광역시,사하구,신평동,,2638010400,,,"330,000","330,000",침사지,1차침전,A2O공법,섬유상여과,1990-12-01,104,366,IV,26335,20,23825,1398,1092
강변하수종말처리장(2단계),263800W02,가동중,부산광역시,사하구,신평동,,2638010400,,,"179,000","179,000",침사지,1차침전,A2O공법,섬유상여과,2001-10-01,76,366,IV,12718,10,11505,675,528
상현공동오수처리시설,264100H01,가동중,부산광역시,금정구,선동,,2641010500,,120,,120,침사지,침전조,활성슬러지,,1995-01-01,78,365,,0,,,,
하정공동오수처리시설,264100H03,가동중,부산광역시,금정구,선동,,2641010500,,90,,90,침사지,침전조,활성슬러지,,1995-01-01,78,365,,0,,,,
본동공동오수처리시설,264100H04,가동중,부산광역시,금정구,오륜동,,2641010600,,120,,120,침사지,침전조,활성슬러지,,1995-05-01,78,365,,0,,,,
세내공동오수처리시설,264100H05,가동중,부산광역시,금정구,오륜동,,2641010600,,55,,55,침사지,침전조,활성슬러지,,1995-01-01,100,365,,0,,,,
산성마을하수도,264100V01,가동중,부산광역시,금정구,금성동,,2641011300,,,480,480,,,,"탈질,탈인",2004-09-01,64,365,,0,,,,
공해마을하수도,264100V02,가동중,부산광역시,금정구,금성동,,2641011300,,,200,200,,,,"탈질,탈인",2004-09-01,72,365,,0,,,,
서부하수종말처리장,264400W01,가동중,부산광역시,강서구,강동동,,2644010300,,,"15,000","15,000",,,,,2003-05-01,48,366,II,2117,,197,1781,139
녹산하수종말처리장,264400W03,가동중,부산광역시,강서구,송정동,,2644010900,,,"80,000","80,000",침사지,1차침전,MLE,,2001-08-18,92.7,366,,754,,678,,76
부산위생사업소,265300F01,가동중,부산광역시,사상구,감전동,,2653010500,,"3,500",,"3,500",협잡물제거,,Seil-BC공법,,1973-04-01,88.69,365,,0,,,,
기장하수종말처리장,267100W01,가동중,부산광역시,기장군,기장읍,신천리,2671025023,,,"27,000","27,000","세목스크린, 침사지",활성슬러지변법(PL-2공법),침전지,급속사여과지,2007-02-01,85,365,,22962,44,321,,22597
동서공공하수도,267100V22,가동중,부산광역시,기장군,기장읍,만화리,2671025030,,,70,70,,,,,,100,365,,0,,,,
상장안마을하수도,267100V03,가동중,부산광역시,기장군,장안읍,장안리,2671025325,,460,,460,,,,,,100,365,,0,,,,
하근마을하수도,267100V05,가동중,부산광역시,기장군,장안읍,기룡리,2671025328,,100,,100,,,,,,100,365,,0,,,,
기장기룡마을하수도,267100V09,가동중,부산광역시,기장군,장안읍,기룡리,2671025328,,160,,160,,,,,,100,365,,0,,,,
기장도야공공하수도,267100V20,가동중,부산광역시,기장군,장안읍,명례리,2671025329,,,90,90,,,,,,100,365,,0,,,,
장안일반산업단지폐수종말처리장,267100A02,가동중,부산광역시,기장군,장안읍,반룡리,2671025331,,,"1,000","1,000",,,,,,100,365,,0,,,,
대룡마을하수처리시설,267100V24,가동중,부산광역시,기장군,장안읍,오리,2671025333,,,50,50,,,,,,100,365,,0,,,,
문오성면단위하수종말처리장,267100W03,신설,부산광역시,기장군,일광면,신평리,2671031026,,,"1,100","1,100",침사협잡물종합처리기,ASA공법,침전지,미생물여과조,2012-05-01,36.4,365,,0,,,,
기장청광마을하수도,267100V11,가동중,부산광역시,기장군,일광면,청광리,2671031029,,,50,50,,,,,,100,365,,0,,,,
기장하리마을하수도,267100V06,가동중,부산광역시,기장군,일광면,원리,2671031030,,60,,60,,,,,,100,365,,0,,,,
기장광산마을하수도,267100V10,가동중,부산광역시,기장군,일광면,원리,2671031030,,70,,70,,,,,,100,365,,0,,,,
기장당곡마을하수도,267100V12,가동중,부산광역시,기장군,일광면,화전리,2671031031,,50,,50,,,,,,100,365,,0,,,,
기장화전공공하수도,267100V21,가동중,부산광역시,기장군,일광면,화전리,2671031031,,,70,70,,,,,,100,365,,0,,,,
산수곡공공하수도,267100V23,가동중,부산광역시,기장군,일광면,용천리,2671031033,,,100,100,,,,,,100,365,,0,,,,
임곡1공공하수도,267100V08,가동중,부산광역시,기장군,정관면,임곡리,2671032023,,90,,90,,,,,,100,365,,0,,,,
임곡2공공하수도,267100V19,가동중,부산광역시,기장군,정관면,임곡리,2671032023,,70,,70,,,,,,100,365,,0,,,,
월평공공하수도,267100V17,가동중,부산광역시,기장군,정관면,월평리,2671032024,,240,,240,,,,,,100,365,,0,,,,
두명공공하수도,267100V18,가동중,부산광역시,기장군,정관면,두명리,2671032029,,140,,140,,,,,,100,365,,0,,,,
부산환경공단 정관하수처리장,267100W02,가동중,부산광역시,기장군,정관면,예림리,2671032030,,,"40,000","40,000",침사지(전처리),1차침전지(1차),활성슬러지공법(2차),"탈질, 여과(3차)",2008-05-01,32.7,365,IV,3211,41,88,822,2260
와여_장전마을하수도,267100V01,가동중,부산광역시,기장군,철마면,장전리,2671033022,,210,,210,,,,,,100,365,,0,,,,
대곡공공하수도,267100V14,가동중,부산광역시,기장군,철마면,장전리,2671033022,,30,,30,,,,,,100,365,,0,,,,
백길공공하수도,267100V16,가동중,부산광역시,기장군,철마면,백길리,2671033023,,40,,40,,,,,,100,365,,0,,,,
중리_미동마을하수도,267100V04,가동중,부산광역시,기장군,철마면,웅천리,2671033025,,130,,130,,,,,,100,365,,0,,,,
이곡공공하수도,267100V13,가동중,부산광역시,기장군,철마면,웅천리,2671033025,,70,,70,,,,,,100,365,,0,,,,
보림_마지마을하수도,267100V02,가동중,부산광역시,기장군,철마면,연구리,2671033026,,60,,60,,,,,,100,365,,0,,,,
구칠공공하수도,267100V15,가동중,부산광역시,기장군,철마면,구칠리,2671033027,,40,,40,,,,,,100,365,,0,,,,
대구안심하수종말처리시설,271400W01,가동중,대구광역시,동구,용계동,,2714011900,,,"47,000","47,000",침사지,1차침전,혐기/무산소/호기공법,URC+모래여과,2002-06-15,89,366,II,4954,82,4163,0,709
북부하수종말처리장,271700W01,가동중,대구광역시,서구,비산동,,2717010200,,,"170,000","170,000",침사지,1차침전지,생물학적질소인제거,총이처리,1997-12-02,74,366,II,8835,70,4786,70,3909
달서천하수종말처리장,271700W02,가동중,대구광역시,서구,비산동,,2717010200,,,"400,000","400,000",침사지,1차침전지,혐기/무산소/호기가변공정,총인처리시설+오존처리,1987-04-01,57,366,II,158315,25,30879,18092,109319
달서천분뇨처리장,271700F01,가동중,대구광역시,서구,상리동,,2717010400,"1,000",,,"1,000",미세고액분리,,,,1977-05-30,77.7,366,,0,,,,
신천하수종말처리장,272300W01,가동중,대구광역시,북구,서변동,,2723011500,,,"680,000","680,000",침사지,1차침전,혐기/무산소/호기,총인처리시설,1993-06-30,65.3,365,II,108244,27922,2464,847,77011
지산하수종말처리장,272600W01,가동중,대구광역시,수성구,두산동,,2726011100,,,"45,000","45,000",침사지,1차침전지,고도처리(A2O계열),총인처리시설(URC공법),2002-06-15,65.3,365,II,21549,0,441,1123,19985
서부분뇨처리장,272900F01,가동중,대구광역시,달서구,대천동,,2729011900,"1,200",,,"1,200",협잡물처리,원심분리처리,하수처리장,,1997-08-11,121.8,365,,0,,,,
대구성서공단폐수종말처리장,272900I01,가동중,대구광역시,달서구,대천동,,2729011900,"80,000",,,"80,000",침사지,1차침전,활성슬러지공법,,1998-11-18,46.68,365,II,2898,126,1580,1192,
대구서부하수종말처리장,272900W01,가동중,대구광역시,달서구,대천동,,2729011900,,,"520,000","520,000",침사지,1차침전,혐기/무산소/호기공법,총인처리,1997-08-11,69.7,365,II,33858,,13097,18898,1863
달성옥포농공단지폐수종말처리장,277100A01,가동중,대구광역시,달성군,논공읍,금포리,2771025322,,"1,500",,"1,500",,활성슬러지,응집침전,,,42,365,II,51,21,,30,
달성산업단지폐수종말처리시설,277100I01,가동중,대구광역시,달성군,논공읍,남리,2771025327,,"25,000",,"25,000",침사지,1차침전지,KSMBR공법,IPR(총인처리공법),1990-09-16,86.1,365,II,115,2,110,,3
다사이천마을하수도,277100V05,가동중,대구광역시,달성군,다사읍,이천리,2771025621,,,100,100,침사,침전,활성슬러지,침전,,90,365,,0,,,,
다사달천마을하수도,277100V04,가동중,대구광역시,달성군,다사읍,달천리,2771025622,,,80,80,침사,침전,활성슬러지,침전,,90,365,,0,,,,
다사박곡마을하수도,277100V03,가동중,대구광역시,달성군,다사읍,박곡리,2771025623,,,75,75,침사,침전,활성슬러지,침전,,89,365,,0,,,,
하빈묘리마을하수도,277100V07,가동중,대구광역시,달성군,하빈면,묘리,2771033022,,,40,40,침전,침전,"탈질,탈인",활성슬러지,,70,365,,0,,,,
하빈상당마을하수도,277100V06,가동중,대구광역시,달성군,하빈면,기곡리,2771033023,,,35,35,침전,침전,"탈질,탈인",활성슬러지,,71,365,,0,,,,
하빈현내공공하수도,277100V09,가동중,대구광역시,달성군,하빈면,현내리,2771033026,,,170,170,침사,침전,활성슬러지,침전,,62,365,,0,,,,
옥포기세마을하수도,277100V08,가동중,대구광역시,달성군,옥포면,기세리,2771034026,,,90,90,침사,침전,활성슬러지,침전,,96,365,,0,,,,
현풍원교하수처리장,277100W01,가동중,대구광역시,달성군,현풍면,원교리,2771036026,,,"23,000","23,000",침사기,1차침전,A2O가변공법,여과후 자외선소독,2009-09-01,69,366,II,2019,,585,1325,109
현풍자모마을하수도,277100V02,가동중,대구광역시,달성군,현풍면,자모리,2771036027,,,55,55,침사,침전,활성슬러지,침전,,30,365,,0,,,,
달성제2차산업단지폐수종말처리장,277100I02,가동중,대구광역시,달성군,구지면,내리,2771038030,,,"4,500","4,500",침사지,NPR공법,응집침전,오존처리,2011-12-15,20.7,365,II,33,3,,30,
구지오설마을하수도,277100V01,가동중,대구광역시,달성군,구지면,오설리,2771038034,,,55,55,침전,"탈질,탈인",활성슬러지,여과,,89,365,,0,,,,
남항사업소,281100W02,가동중,인천광역시,중구,신흥동3가,,2811012800,,,"125,000","125,000",원형침사지,Bio-SAC공법,,,2008-09-01,72.5,365,,9983,1728,0,2880,5375
운북하수종말처리장,281100W01,가동중,인천광역시,중구,운북동,,2811014800,,,"12,000","12,000",,,,,,25.3,365,IV,639,294,176,,169
승기하수종말처리장,281850W01,가동중,인천광역시,연수구,동춘동,,2818510500,,,"275,000","275,000",침사지,1차침전지,MLE+응집,,1995-01-01,81.8,365,IV,5233,1120,920,2326,867
송도하수종말처리장,281850W02,가동중,인천광역시,연수구,송도동,,2818510600,,,"30,000","30,000",침사지,1차침전지,Biostyr,고속응집침전지,2005-04-04,70.9,365,,2059,,468,252,1339
만수하수종말처리장,282000W01,가동중,인천광역시,남동구,서창동,,2820010500,,,"70,000","70,000",,,,,,102.8,,,0,,,,
공촌하수종말처리장,282600W01,가동중,인천광역시,서구,경서동,,2826010400,,"26,000",,"26,000",스크린,KSMBR(분리막),재이용처리시설,,2012-04-02,56.7,365,IV,6511,1755,1997,,2759
가좌분뇨처리장,282600F02,가동중,인천광역시,서구,가좌동,,2826011200,"1,780",,,"1,780",자동스크린,협잡물종합처리시,미세혐잡물처리기,HBR-Ⅱ,2004-04-01,102.4,365,,0,,,,
가좌하수종말처리장,282600W02,가동중,인천광역시,서구,가좌동,,2826011200,,,"350,000","350,000",침사지,1차침전지,활성슬러지공법,디스크필터,1992-02-01,73.2,365,IV,58392,5490,6388,28789,17725
검단하수처리장,282600W03,가동중,인천광역시,서구,오류동,,2826011900,,,"40,000","40,000",,,,,,100,365,,0,,,,
강화위생처리장,287100F01,가동중,인천광역시,강화군,강화읍,용정리,2871025026,,30,,30,,,,,,100,365,,0,,,,
강화하수종말처리장,287100W01,가동중,인천광역시,강화군,선원면,신정리,2871031024,,,"9,000","9,000",침사지,산화구,최종침전,UV소독,2003-01-01,74.5,365,,1817,,174,251,1392
강화군가축분뇨공공처리시설,287100S01,가동중,인천광역시,강화군,선원면,냉정리,2871031027,,,30,30,,,,,,100,365,,0,,,,
백령분뇨처리장,287200F03,가동중,인천광역시,옹진군,백령면,진촌리,2872033021,,2,,2,,,,,1999-10-15,100,365,I,0,,,,
진촌공공하수처리시설,287200W01,가동중,인천광역시,옹진군,백령면,진촌리,2872033021,,560,,560,,,,,2009-04-07,99.37,365,I,0,,,,
대청분뇨처리장,287200F04,가동중,인천광역시,옹진군,대청면,대청리,2872034021,,2,,2,,,,,2000-04-02,100,365,I,0,,,,
사탄1공공하수처리시설,287200V03,가동중,인천광역시,옹진군,대청면,대청리,2872034021,,50,,50,,,,,2004-12-08,61.36,365,I,0,,,,
서포1리소규모공공하수처리시설,287200V02,가동중,인천광역시,옹진군,덕적면,서포리,2872035023,,300,,300,,,,,,43.3,365,I,0,,,,
자월분뇨처리장,287200F06,가동중,인천광역시,옹진군,자월면,자월리,2872037021,,2,,2,,,,,2000-04-02,100,365,I,0,,,,
연평분뇨처리장,287200F02,가동중,인천광역시,옹진군,연평면,연평리,2872038021,,2,,2,,,,,2000-04-02,100,365,I,0,,,,
광주위생처리장,291400F01,가동중,광주광역시,서구,치평동,,2914012000,"1,000",,,"1,000",,,,,,86.6,365,,0,,,,
광주제1하수종말처리장,291400W01,가동중,광주광역시,서구,치평동,,2914012000,,,"600,000","600,000",침사지,1차침전,NPR공법,총인처리시설(ACTIFLO공,1991-01-15,99.6,366,II,26728,,,4514,22214
광주신용마을하수도,291400V01,가동중,광주광역시,서구,용두동,,2914012700,,45,,45,,,,,2010-04-15,100,365,,0,,,,
금곡 금곡마을하수도,291700V02,가동중,광주광역시,북구,금곡동,,2917012000,,80,,80,,,,,2007-12-31,100,365,,0,,,,
화암 화암마을하수도,291700V03,가동중,광주광역시,북구,화암동,,2917012300,,60,,60,,,,,2006-01-04,50,365,,0,,,,
주룡마을하수도,291700V01,가동중,광주광역시,북구,운정동,,2917012500,,110,,110,,,,,2006-05-31,18,365,,0,,,,
광주제2하수종말처리장,292000W01,가동중,광주광역시,광산구,본덕동,,2920014000,,,"120,000","120,000",침사지,1차 침전,활성슬러지공법,약품응집침전,2002-01-01,87.4,366,II,7112,,5123,1912,77
송산가삼마을하수도,292000V03,가동중,광주광역시,광산구,송산동,,2920015700,,45,,45,혐기성처리조,호기성처리조,자외선소독기,여과기,2011-04-28,100,247,,0,,,,
지평가삼마을하수도,292000V02,가동중,광주광역시,광산구,지평동,,2920015800,,45,,45,혐기성처리조,호기성처리조,자외선소독기,여과기,2007-12-21,100,365,,0,,,,
남산황계마을하수도,292000V01,가동중,광주광역시,광산구,남산동,,2920016700,,45,,45,혐기성처리조,호기성처리조,자외선소독기,여과기,2008-05-01,100,365,,0,,,,
흑석하수종말처리장,301700W01,가동중,대전광역시,서구,흑석동,,3017011700,,,"1,000","1,000",,,,SBR공법,2005-11-10,100,365,,3,0,2,1,
대전하수종말처리장,302000W01,가동중,대전광역시,유성구,원촌동,,3020014200,,,"900,000","900,000",침사지,1차침전지,활성슬러지공법,여과,2012-01-01,100,365,II,14932,384,4870,5395,4283
대전위생처리장,302300F01,가동중,대전광역시,대덕구,오정동,,3023010100,"1,500",,,"1,500",,,,,,100,365,,0,,,,
대덕산업단지관리공단환경사업소,302300I01,가동중,대전광역시,대덕구,문평동,,3023011300,,"60,000",,"60,000",,,,,1992-12-31,100,365,II,0,,,,
여천위생처리장,311400F01,가동중,울산광역시,남구,여천동,,3114010700,,,300,300,종합처리기,바실러스 공법,활성슬러지처리,화학적처리,,131,365,,35,,35,,
용연하수종말처리장,311400W01,가동중,울산광역시,남구,황성동,,3114011400,,,"250,000","250,000","세목스크린,포기침사지",1차침전,,고도처리(3차),1995-08-18,95.7,365,IV,1160,0,455,395,310
울산방어진수질개선사업소,311700W01,가동중,울산광역시,동구,미포동,,3117010500,,,"100,000","100,000",침사지,1침전지,B3공법,B3공법,2005-09-01,114,365,IV,5962,377,5315,270,
강동수질개선사업소,312000W02,신설,울산광역시,북구,산하동,,3120011800,,,"5,000","5,000",침사지,일차침전,MSBR반응,고속응집침전,2012-09-25,70,365,,0,,,,
온산하수종말처리장,317100W02,가동중,울산광역시,울주군,온산읍,당월리,3171025025,,"150,000",,"150,000",,,데니포공법,,2012-06-07,100,365,IV,150,,,150,
울산언양하수종말처리장,317100W03,가동중,울산광역시,울주군,언양읍,구수리,3171025335,,,"60,000","60,000",침사지,1차침전지,DNR공법,,2004-09-01,42.5,365,IV,5830,,2003,,3827
굴화수질개선사업소,317100W04,신설,울산광역시,울주군,범서읍,굴화리,3171025924,,,"47,000","47,000",,,,URC,2012-09-15,,108,,380,15,16,281,68
척과공공하수처리시설,317100V05,가동중,울산광역시,울주군,범서읍,척과리,3171025930,,,230,230,,,,,,100,365,,0,,,,
신리마을하수도,317100V02,가동중,울산광역시,울주군,서생면,신암리,3171031021,,,200,200,,,,KSBNR,2003-02-05,100,365,,0,,,,
신암마을하수도,317100V03,가동중,울산광역시,울주군,서생면,신암리,3171031021,,,460,460,,,,KSBNR,2006-03-30,100,365,,0,,,,
나사마을오수처리장,317100V01,가동중,울산광역시,울주군,서생면,나사리,3171031023,,,290,290,,,,KSBNR,2005-06-10,100,365,,0,,,,
나사이주마을오수처리장,317100V04,가동중,울산광역시,울주군,서생면,나사리,3171031023,,,250,250,,,,KSBNR,2002-08-31,100,365,,0,,,,
용암폐수종말처리장,317100I01,가동중,울산광역시,울주군,청량면,상남리,3171033023,,,"85,000","85,000",침사지,생물반응조,침전,고속응집침전,2011-07-01,71,550,IV,36,,,36,
회야하수종말처리장,317100W01,가동중,울산광역시,울주군,웅촌면,대대리,3171034027,,,"32,000","32,000",침사지,1차침전,SymBio,DOF,1989-11-30,97.4,365,IV,10128,,868,33,9227
수질복원센터,447300W03,신설,세종특별자치시,,가람동,,3611010500,,,"20,000","20,000",,,,,2013-04-19,,,,,,,,
연기군환경사업소,447300F01,가동중,세종특별자치시,,조치원읍,죽림리,3611025030,60,,,60,침사지,,,,1999-03-26,100,365,,0,,,,
조치원하수종말처리장,447300W01,가동중,세종특별자치시,,조치원읍,죽림리,3611025030,,,"20,000","20,000",유입동,침사지,데니포공업,최종침전지,2006-10-20,100,365,,730,,355,,375
연기월산산업단지폐수종말처리장,447300I04,가동중,세종특별자치시,,연기면,세종리,3611031025,,"11,500",,"11,500","침사지,미세스크린","접촉산화조,최종침전지","오존접촉조,생물막접촉조",활성탄흡탁탑,2001-02-20,28,366,I,0,0,0,0,0
연기동면황우제지구마을하수도,447300V08,가동중,세종특별자치시,,연동면,명학리,3611032023,,48,,48,침사지,1차침전,생물반응,2차침전,1997-06-01,100,365,,0,,,,
연기산수골지구마을하수도,447300V14,가동중,세종특별자치시,,연동면,예양리,3611032026,,7,,7,침사지,1차침전지,생물반응조,2차침전지,1987-03-31,100,365,,0,,,,
연기미꾸지지구마을하수도,447300V15,가동중,세종특별자치시,,연동면,예양리,3611032026,,10,,10,침사지,1차침전지,생물반응조,2차침전지,1997-03-31,100,365,,0,,,,
연기노송지구마을하수도,447300V32,가동중,세종특별자치시,,연동면,예양리,3611032026,,,50,50,스크린,SMMIAR,,,2004-11-24,80,365,,0,,,,
청원(등곡)축산폐수공공처리장,437100S02,가동중,세종특별자치시,,부강면,등곡리,3611033026,,200,,200,,,KS-MBR공법,,2009-09-21,100,365,,0,,,,
부용산업단지폐수종말처리장,437100I02,가동중,세종특별자치시,,부강면,금호리,3611033028,"3,500",,,"3,500",,,스미어공법,,2009-09-21,100,365,,0,,,,
부용검시마을하수도,437100V33,가동중,세종특별자치시,,부강면,금호리,3611033028,,,60,60,협잡물종합처리기,액상부식조,탈수기,여과장치 및 오존설비,2007-12-11,100,365,,0,,,,
연기금남면감성지구마을하수도,447300V05,가동중,세종특별자치시,,금남면,감성리,3611034023,,,68,68,스크린,SMMIAR,,,2001-05-10,80,365,,20,,20,,
연기성제지구마을하수도,447300V33,가동중,세종특별자치시,,연서면,성제리,3611036023,,,280,280,드럼스크린,고도처리,,,2010-06-15,100,365,,0,,,,
연기검단지구마을하수도,447300V23,가동중,세종특별자치시,,연서면,용암리,3611036025,,,20,20,스크린,CBT,,,2004-06-10,80,365,,0,,,,
연기쌍류지구마을하수도,447300V22,가동중,세종특별자치시,,연서면,쌍류리,3611036026,,46,,46,침사지,1차침전지,생물반응조,2차침전지,2003-12-31,100,365,,0,,,,
연기새덧말1지구마을하수도,447300V17,가동중,세종특별자치시,,연서면,신대리,3611036029,,34,,34,침사지,1차침전지,생물반응조,2차침전지,2000-06-14,100,365,,0,,,,
연기새덧말2지구마을하수도,447300V18,가동중,세종특별자치시,,연서면,신대리,3611036029,,13,,13,침사지,1차침전지,생물반응조,2차침전지,2000-06-14,100,365,,0,,,,
연기송정지구마을하수도,447300V19,가동중,세종특별자치시,,연서면,신대리,3611036029,,15,,15,침사지,1차침전지,생물반응조,2차침전지,2000-06-14,100,365,,0,,,,
연기서면국촌지구마을하수도,447300V01,가동중,세종특별자치시,,연서면,국촌리,3611036030,,,50,50,스크린,SMMIAR,,,2009-12-28,80,365,,20,,20,,
연기조치원산업단지폐수종말처리장,447300I01,가동중,세종특별자치시,,연서면,부동리,3611036032,,"2,500",,"2,500",유수분리,물리화학적처리,접촉산화-회전원판법,가압부상처리,1993-04-29,10.3,365,,0,,,,
연기전의분뇨처리시설,447300F02,가동중,세종특별자치시,,전의면,동교리,3611037022,7,,,7,,,,,2003-03-31,100,365,,0,,,,
전의하수종말처리장,447300W02,가동중,세종특별자치시,,전의면,동교리,3611037022,,,"2,000","2,000",침사지,,산화구법,사여과,2003-03-10,100,365,,0,,,,
연기소정산업단지폐수종말처리장,447300I02,가동중,세종특별자치시,,전의면,유천리,3611037026,,"1,150",,"1,150",바 스크린,물리.화학적처리,생물학적처리,여과.흡착/막처리(MBR),1997-06-01,41,365,,414,,,384,30
연기유천지구마을하수도,447300V31,가동중,세종특별자치시,,전의면,유천리,3611037026,,,30,30,스크린,SMMIAR,,,2006-07-18,80,365,,0,,,,
연기전의산업단지폐수종말처리장,447300I03,가동중,세종특별자치시,,전의면,신정리,3611037028,,"2,000",,"2,000",스크린,생물화학적,가압부상,여과흡착,2002-06-30,61.17,365,II,0,,,,
연기신정지구마을하수도,447300V26,가동중,세종특별자치시,,전의면,신정리,3611037028,,,70,70,스크린,CBT,,,2005-02-14,80,365,,0,,,,
연기달전지구마을하수도,447300V27,가동중,세종특별자치시,,전의면,달전리,3611037033,,,50,50,스크린,CBT,,,2005-02-14,80,365,,0,,,,
연기금사지구마을하수도,447300V25,가동중,세종특별자치시,,전의면,금사리,3611037034,,46,,46,스크린,미생물조정조를이용한고효율오수,,,2002-02-19,80,365,,0,,,,
연기노장농공단지폐수종말처리장,447300A01,가동중,세종특별자치시,,전동면,노장리,3611038021,,800,,800,스크린,"중화응집,가압부상조",생물반응조(NPR공법),,1989-10-30,28,365,,0,,,,
연기노장1지구마을하수도,447300V28,가동중,세종특별자치시,,전동면,노장리,3611038021,,,60,60,스크린,SMMIAR,,,2003-11-21,80,365,,0,,,,
연기노장3지구마을하수도,447300V29,가동중,세종특별자치시,,전동면,노장리,3611038021,,46,,46,스크린,미생물조정조를이용한고효율오수,,,2003-11-21,80,365,,0,,,,
연기보덕2지구마을하수도,447300V30,가동중,세종특별자치시,,전동면,보덕리,3611038025,,46,,46,스크린,미생물조정조를이용한고효율오수,,,2003-11-21,80,365,,0,,,,
연기보덕1지구마을하수도,447300V35,신설,세종특별자치시,,전동면,송곡리,3611038026,,,105,105,,,,,2012-06-08,,,,,,,,
연기운당지구마을하수도,447300V34,가동중,세종특별자치시,,소정면,운당리,3611039022,,,270,270,드럼스크린,KSMBR,,,2010-06-15,100,365,,0,,,,
연기소정고등지구마을하수도,447300V10,가동중,세종특별자치시,,소정면,고등리,3611039024,,,70,70,스크린,KSMBR,,,,80,365,,0,,,,
수원위생처리장,411130F01,가동중,경기도,수원시권선구,평동,,4111312700,,500,,500,,,,,,100,365,,0,,,,
서호생태수자원센터,411150W01,신설,경기도,수원시팔달구,화서동,,4111513800,,,"47,000","47,000",,,,,,100,,,0,,,,
성남위생처리장,411310F01,가동중,경기도,성남시수정구,복정동,,4113110700,500,,,500,협잡물제거,,,,2007-08-22,103.2,305,,0,,,,
성남하수종말처리장,411310W01,가동중,경기도,성남시수정구,복정동,,4113110700,,,"460,000","460,000",침사지,1차침전지,"NPR,A2O공법",,2008-05-01,83.6,365,III,0,,,,
판교수질복원센터,411350W02,가동중,경기도,성남시분당구,삼평동,,4113510900,,,"47,000","47,000",침사지,일차침전지,Bio-SAC공법,활성탄여과지,2010-01-09,55.1,365,,6575,,,6575,
의정부위생처리장,411500F01,가동중,경기도,의정부시,장암동,,4115010300,300,,,300,협잡물제거,,,,2001-03-31,98,366,,0,,,,
의정부하수종말처리장,411500W02,가동중,경기도,의정부시,장암동,,4115010300,,,"200,000","200,000",침사지,1차침전,활성슬러지공법,"탈질,응집침전",1987-12-23,80,366,III,9609,,2278,,7331
안양만안분뇨처리장,411710F01,가동중,경기도,안양시만안구,석수동,,4117110200,100,,,100,,,,,,100,365,,0,,,,
석수하수종말처리장,411710W04,가동중,경기도,안양시만안구,석수동,,4117110200,,,"300,000","300,000",침사지,1차침전,,"MLE, CNR",2002-04-01,100,365,,0,,,,
안양정화조처리장,411710F02,가동중,경기도,안양시만안구,박달동,,4117110300,200,,,200,,,,,,100,365,,0,,,,
